지역코드,시군구
31110,울산시 중구
36110,세종시 세종시
29200,광주시 광산구
29155,광주시 남구
29110,광주시 동구
29170,광주시 북구
29140,광주시 서구
51150,강원도 강릉시 강동면
51820,강원도 고성군 간성읍
51170,강원도 동해시
51230,강원도 삼척시
51210,강원도 속초시
51800,강원도 양구군 양구읍
51830,강원도 양양군 강현면
51750,강원도 영월군 영월읍
51130,강원도 원주시
51810,강원도 인제군 기린면
51770,강원도 정선군 고한읍
51780,강원도 철원군 갈말읍
51110,강원도 춘천시
51190,강원도 태백시
51760,강원도 평창군 대관령면
51720,강원도 홍천군 남면
51790,강원도 화천군 하남면
51730,강원도 횡성군 둔내면
43760,충청북도 괴산군 괴산읍
43800,충청북도 단양군 단양읍
43720,충청북도 보은군 마로면
43740,충청북도 영동군 심천면
43730,충청북도 옥천군 옥천읍
43770,충청북도 음성군 감곡면
43150,충청북도 제천시
43745,충청북도 증평군 도안면
43750,충청북도 진천군 광혜원면
43111,충청북도 청주시 상당구
43112,충청북도 청주시 서원구
43114,충청북도 청주시 청원구
43113,충청북도 청주시 흥덕구
43130,충청북도 충주시
44250,충청남도 계룡시
44150,충청남도 공주시
44710,충청남도 금산군 금산읍
44230,충청남도 논산시 강경읍
44270,충청남도 당진시 고대면
44180,충청남도 보령시
44760,충청남도 부여군 규암면
44210,충청남도 서산시
44770,충청남도 서천군 마서면
44200,충청남도 아산시
44810,충청남도 예산군 고덕면
44131,충청남도 천안시 동남구
44133,충청남도 천안시 서북구
44790,충청남도 청양군 정산면
44825,충청남도 태안군 근흥면
44800,충청남도 홍성군 광천읍
47290,경상북도 경산시
47130,경상북도 경주시 감포읍
47830,경상북도 고령군 다산면
47190,경상북도 구미시
47150,경상북도 김천시
47280,경상북도 문경시
47920,경상북도 봉화군 봉화읍
47250,경상북도 상주시
47840,경상북도 성주군 성주읍
47170,경상북도 안동시
47770,경상북도 영덕군 강구면
47760,경상북도 영양군 영양읍
47210,경상북도 영주시
47230,경상북도 영천시 고경면
47900,경상북도 예천군 예천읍
47930,경상북도 울진군 근남면
47730,경상북도 의성군 봉양면
47820,경상북도 청도군 이서면
47750,경상북도 청송군 진보면
47850,경상북도 칠곡군 기산면
47111,경상북도 포항시 남구 구룡포읍
47113,경상북도 포항시 북구
48310,경상남도 거제시 거제면
48880,경상남도 거창군 거창읍
48820,경상남도 고성군 거류면
48250,경상남도 김해시
48840,경상남도 남해군 고현면
48270,경상남도 밀양시
48240,경상남도 사천시 곤양면
48860,경상남도 산청군 금서면
48330,경상남도 양산시
48720,경상남도 의령군 부림면
48170,경상남도 진주시
48740,경상남도 창녕군 남지읍
48125,경상남도 창원시 마산합포구
48127,경상남도 창원시 마산회원구
48123,경상남도 창원시 성산구
48121,경상남도 창원시 의창구 대산면
48129,경상남도 창원시 진해구
48220,경상남도 통영시 광도면
48850,경상남도 하동군 금남면
48730,경상남도 함안군 가야읍
48870,경상남도 함양군 안의면
48890,경상남도 합천군 가야면
52790,전북도 고창군 고창읍
52130,전북도 군산시
52210,전북도 김제시
52190,전북도 남원시
52730,전북도 무주군 무주읍
52800,전북도 부안군 변산면
52770,전북도 순창군 순창읍
52710,전북도 완주군 고산면
52140,전북도 익산시
52750,전북도 임실군 관촌면
52740,전북도 장수군 장계면
52113,전북도 전주시 덕진구
52111,전북도 전주시 완산구
52180,전북도 정읍시
52720,전북도 진안군 진안읍
46810,전라남도 강진군 강진읍
46770,전라남도 고흥군 고흥읍
46720,전라남도 곡성군 곡성읍
46230,전라남도 광양시 광양읍
46730,전라남도 구례군 구례읍
46170,전라남도 나주시
46710,전라남도 담양군 고서면
46110,전라남도 목포시
46840,전라남도 무안군 무안읍
46780,전라남도 보성군 벌교읍
46150,전라남도 순천시
46910,전라남도 신안군 지도읍
46130,전라남도 여수시
46870,전라남도 영광군 법성면
46830,전라남도 영암군 삼호읍
46890,전라남도 완도군 완도읍
46880,전라남도 장성군 삼계면
46800,전라남도 장흥군 장흥읍
46900,전라남도 진도군 임회면
46860,전라남도 함평군 월야면
46820,전라남도 해남군 문내면
46790,전라남도 화순군 능주면
50130,제주도 서귀포시
50110,제주도 제주시
